id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,Superhost_Status,price_per_guest,host_size_group
11546735,60939105,2016-02-29,,4,6,t,Kensington-Cedar Cottage,49.25,-123.07,Private room,1,,,36.00,30,76,8,5.00,0.1,Missing,36.00,Multi Listing Host
47243371,299294905,2019-10-01,,1,10,t,Kensington-Cedar Cottage,49.25,-123.08,Private room,1,,1,36.00,30,67,1,5.00,0.27,Missing,36.00,Multi Listing Host
8.83766E+17,180017812,2018-03-22,,7,9,t,Arbutus Ridge,49.25,-123.16,Private room,1,,1,36.00,30,228,0,,,Missing,36.00,Multi Listing Host
20136427,69139395,2016-04-27,,6,8,t,Riley Park,49.24,-123.10,Private room,1,,1,37.00,55,52,6,5.00,0.09,Missing,37.00,Multi Listing Host
23583730,103324604,2016-11-11,f,1,2,f,Riley Park,49.23,-123.11,Private room,1,1,1,37.00,2,0,8,4.63,0.13,No,37.00,Multi Listing Host
13035303,72061037,2016-05-15,,1,1,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,2,,1,38.00,3,0,41,4.90,0.48,Missing,19.00,Single Listing Host
33786053,178767690,2018-03-16,,2,3,f,Riley Park,49.24,-123.09,Private room,3,,2,38.00,1,0,11,4.22,0.22,Missing,12.67,Multi Listing Host
39588544,126456251,2017-04-18,,5,8,t,Riley Park,49.24,-123.10,Private room,1,,1,38.00,30,77,18,4.89,0.41,Missing,38.00,Multi Listing Host
41852181,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,2,1,1,38.00,30,52,5,5.00,0.4,Missing,19.00,Multi Listing Host
7788230,40984901,2015-08-09,,6,7,t,Marpole,49.21,-123.11,Private room,1,,1,39.00,31,144,55,4.67,0.59,Missing,39.00,Multi Listing Host
7822189,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,2,1,1,39.00,30,45,58,4.83,0.62,Missing,19.50,Multi Listing Host
7822875,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,1,1,1,39.00,30,54,32,4.75,0.34,Missing,39.00,Multi Listing Host
8.05891E+17,456814560,2022-04-30,,1,1,f,Hastings-Sunrise,49.28,-123.05,Private room,1,,1,39.00,30,230,2,4.00,0.8,Missing,39.00,Single Listing Host
8.76729E+17,72620554,2016-05-18,,8,12,t,Marpole,49.21,-123.13,Private room,1,,1,39.00,30,83,0,,,Missing,39.00,Multi Listing Host
8.85065E+17,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,1,,1,39.00,30,357,0,,,Missing,39.00,Multi Listing Host
134688,653436,2011-06-01,,5,5,t,Renfrew-Collingwood,49.24,-123.05,Private room,1,,1,40.00,30,206,44,4.60,0.31,Missing,40.00,Multi Listing Host
3183304,4261957,2012-11-27,,2,3,t,Renfrew-Collingwood,49.24,-123.04,Private room,2,,1,40.00,30,209,49,4.61,0.46,Missing,20.00,Multi Listing Host
3479638,653436,2011-06-01,,5,5,t,Renfrew-Collingwood,49.25,-123.05,Private room,1,,1,40.00,30,202,25,4.48,0.24,Missing,40.00,Multi Listing Host
7858563,40984901,2015-08-09,,6,7,t,Marpole,49.21,-123.11,Private room,1,,1,40.00,31,126,64,4.64,0.68,Missing,40.00,Multi Listing Host
15624482,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,2,1,1,40.00,30,82,24,4.50,0.3,Missing,20.00,Multi Listing Host
18980403,1886797,2012-03-08,t,1,6,t,Kensington-Cedar Cottage,49.24,-123.08,Entire home/apt,2,1,1,40.00,30,276,35,4.86,0.48,Yes,20.00,Multi Listing Host
19550189,40743512,2015-08-06,,6,6,t,Renfrew-Collingwood,49.25,-123.03,Private room,1,,1,40.00,30,59,21,4.48,0.29,Missing,40.00,Multi Listing Host
23816739,178767690,2018-03-16,,2,3,f,Riley Park,49.23,-123.09,Private room,2,,1,40.00,1,0,2,5.00,0.03,Missing,20.00,Multi Listing Host
27202884,204852421,2018-07-24,,1,1,f,Sunset,49.21,-123.10,Private room,1,,,40.00,7,89,18,4.78,0.31,Missing,40.00,Single Listing Host
28942942,12310952,2014-02-17,,7,11,t,Marpole,49.21,-123.11,Private room,2,,1,40.00,30,64,7,4.86,0.15,Missing,20.00,Multi Listing Host
29346974,125732293,2017-04-13,,1,1,t,Downtown,49.29,-123.13,Private room,1,,1,40.00,93,89,0,,,Missing,40.00,Single Listing Host
32312468,168136421,2018-01-16,,1,1,t,Kensington-Cedar Cottage,49.23,-123.09,Private room,1,,1,40.00,60,103,0,,,Missing,40.00,Single Listing Host
35772733,69139395,2016-04-27,,6,8,t,Riley Park,49.23,-123.10,Private room,1,,1,40.00,95,7,1,5.00,0.42,Missing,40.00,Multi Listing Host
36035483,271096826,2019-06-24,,6,6,f,Killarney,49.21,-123.06,Private room,1,,1,40.00,1,0,5,4.50,0.1,Missing,40.00,Multi Listing Host
36112319,271096826,2019-06-24,,6,6,f,Killarney,49.21,-123.06,Private room,1,,1,40.00,1,0,1,5.00,0.02,Missing,40.00,Multi Listing Host
37001997,271096826,2019-06-24,,6,6,f,Killarney,49.21,-123.06,Private room,4,,1,40.00,1,0,7,4.43,0.15,Missing,10.00,Multi Listing Host
38996375,271096826,2019-06-24,,6,6,f,Sunset,49.21,-123.08,Private room,4,,1,40.00,1,0,5,5.00,0.11,Missing,10.00,Multi Listing Host
39589085,126456251,2017-04-18,,5,8,t,Riley Park,49.24,-123.10,Private room,1,,1,40.00,30,74,12,5.00,0.28,Missing,40.00,Multi Listing Host
42671966,37753475,2015-07-07,,2,2,t,Renfrew-Collingwood,49.24,-123.04,Private room,1,,1,40.00,3,0,1,5.00,0.03,Missing,40.00,Multi Listing Host
46802773,25847633,2015-01-09,,1,2,t,Renfrew-Collingwood,49.24,-123.04,Private room,2,,1,40.00,15,0,1,4.00,0.03,Missing,20.00,Multi Listing Host
50551242,136042429,2017-06-20,f,1,1,t,Kensington-Cedar Cottage,49.25,-123.08,Entire home/apt,2,1,1,40.00,30,0,0,,,No,20.00,Single Listing Host
8.38661E+17,503614958,2023-03-02,f,1,1,t,Kensington-Cedar Cottage,49.25,-123.08,Private room,2,1,1,40.00,30,311,0,,,No,20.00,Single Listing Host
19555826,69139395,2016-04-27,,6,8,t,Sunset,49.23,-123.10,Private room,1,,1,41.00,110,126,12,4.92,0.2,Missing,41.00,Multi Listing Host
20088165,6939645,2013-06-16,,1,1,t,Grandview-Woodland,49.28,-123.07,Private room,2,,1,41.00,4,0,81,4.88,1.14,Missing,20.50,Single Listing Host
35773260,269128714,2019-06-17,,1,2,f,Riley Park,49.23,-123.10,Private room,1,,1,41.00,30,38,4,5.00,0.09,Missing,41.00,Multi Listing Host
38871382,126456251,2017-04-18,,5,8,t,Riley Park,49.24,-123.10,Private room,1,,1,41.00,30,118,21,5.00,0.5,Missing,41.00,Multi Listing Host
7.25515E+17,100072958,2016-10-17,,2,2,t,Downtown,49.29,-123.13,Shared room,1,,2,41.00,2,161,2,5.00,0.24,Missing,41.00,Multi Listing Host
22324957,26230655,2015-01-17,,2,3,t,Downtown Eastside,49.28,-123.09,Private room,2,,1,42.00,30,14,59,4.83,0.89,Missing,21.00,Multi Listing Host
30801826,49523106,2015-11-20,f,1,4,f,Mount Pleasant,49.26,-123.09,Private room,2,1,1,42.00,31,0,0,,,No,21.00,Multi Listing Host
8.83575E+17,39275030,2015-07-22,,2,4,t,South Cambie,49.24,-123.12,Private room,1,,1,42.00,30,223,0,,,Missing,42.00,Multi Listing Host
9.08772E+17,227662329,2018-11-26,f,144,221,t,Mount Pleasant,49.26,-123.10,Entire home/apt,2,1,1,42.00,30,287,0,,,No,21.00,Multi Listing Host
7860338,40984901,2015-08-09,,6,7,t,Marpole,49.21,-123.11,Private room,1,,1,43.00,31,160,37,4.76,0.4,Missing,43.00,Multi Listing Host
43140470,8093441,2013-08-11,,1,1,t,Kitsilano,49.27,-123.16,Private room,1,,1,43.00,30,101,10,4.80,0.3,Missing,43.00,Single Listing Host
43295734,5041866,2013-02-10,,3,3,t,Oakridge,49.23,-123.12,Private room,2,,1,43.00,30,0,1,5.00,0.03,Missing,21.50,Multi Listing Host
7.87525E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,1,,1,43.00,30,304,0,,,Missing,43.00,Multi Listing Host
7.92148E+17,4882632,2013-01-28,,1,21,t,South Cambie,49.25,-123.12,Private room,1,,1,43.00,30,159,0,,,Missing,43.00,Multi Listing Host
9.0945E+17,82112046,2016-07-06,f,1,1,t,Shaughnessy,49.24,-123.15,Private room,2,1,1,44.00,30,179,0,,,No,22.00,Single Listing Host
13449614,31047232,2015-04-11,f,2,2,t,Kerrisdale,49.23,-123.16,Private room,1,1,1,45.00,30,120,0,,,No,45.00,Multi Listing Host
17833279,677632,2011-06-08,,2,3,t,Downtown Eastside,49.28,-123.10,Private room,2,,2,45.00,28,45,75,4.92,1,Missing,22.50,Multi Listing Host
19662425,138436761,2017-07-03,f,1,1,f,Dunbar Southlands,49.26,-123.20,Private room,1,1,1,45.00,30,0,2,2.00,0.03,No,45.00,Single Listing Host
23413748,7084377,2013-06-24,,1,2,t,Grandview-Woodland,49.28,-123.07,Private room,1,,1,45.00,30,0,0,,,Missing,45.00,Multi Listing Host
28987551,12310952,2014-02-17,,7,11,t,Marpole,49.21,-123.11,Private room,2,,1,45.00,30,35,2,5.00,0.07,Missing,22.50,Multi Listing Host
28987554,12310952,2014-02-17,,7,11,t,Marpole,49.21,-123.11,Private room,2,,1,45.00,30,43,14,4.93,0.27,Missing,22.50,Multi Listing Host
33368809,154099324,2017-10-10,,1,1,t,Kensington-Cedar Cottage,49.25,-123.06,Private room,2,,1,45.00,2,0,2,5.00,0.04,Missing,22.50,Single Listing Host
37715782,271096826,2019-06-24,,6,6,f,Killarney,49.21,-123.06,Private room,2,,2,45.00,1,0,1,5.00,0.02,Missing,22.50,Multi Listing Host
39894314,49819755,2015-11-24,f,1,2,t,Hastings-Sunrise,49.29,-123.05,Entire home/apt,2,,1,45.00,2,0,1,5.00,0.02,No,22.50,Multi Listing Host
46204128,65085677,2016-03-30,,1,2,f,Kensington-Cedar Cottage,49.25,-123.07,Private room,1,,1,45.00,2,0,3,5.00,0.1,Missing,45.00,Multi Listing Host
6.98851E+17,83649788,2016-07-14,f,8,19,t,Marpole,49.21,-123.14,Private room,2,,1,45.00,30,96,1,4.00,0.16,No,22.50,Multi Listing Host
6.99633E+17,83649788,2016-07-14,f,8,19,t,Marpole,49.21,-123.14,Private room,2,,1,45.00,30,94,2,5.00,0.27,No,22.50,Multi Listing Host
8.30807E+17,233528161,2018-12-31,,1,1,t,Hastings-Sunrise,49.28,-123.06,Private room,1,,1,45.00,30,0,0,,,Missing,45.00,Single Listing Host
8.91552E+17,128238673,2017-04-30,f,1,3,t,Kitsilano,49.27,-123.18,Shared room,1,,1,45.00,14,309,0,,,No,45.00,Multi Listing Host
9.09539E+17,31047232,2015-04-11,f,2,2,t,Kerrisdale,49.23,-123.16,Private room,1,1,1,45.00,1,106,0,,,No,45.00,Multi Listing Host
11550687,60939105,2016-02-29,,4,6,t,Kensington-Cedar Cottage,49.25,-123.07,Private room,1,,1,46.00,30,187,8,4.75,0.11,Missing,46.00,Multi Listing Host
19792418,57488206,2016-02-05,f,3,3,t,Hastings-Sunrise,49.28,-123.06,Entire home/apt,2,1,1,46.00,3,0,60,4.75,0.84,No,23.00,Multi Listing Host
20506575,55726390,2016-01-22,,1,2,f,Grandview-Woodland,49.28,-123.06,Private room,1,,1,46.00,1,0,1,0.00,0.02,Missing,46.00,Multi Listing Host
31934285,14953329,2014-05-01,f,1,1,t,Grandview-Woodland,49.28,-123.07,Entire home/apt,2,1,1,46.00,1,0,108,4.59,2.06,No,23.00,Single Listing Host
8.31447E+17,227662329,2018-11-26,f,144,221,t,Arbutus Ridge,49.24,-123.16,Entire home/apt,2,1,1,46.00,30,363,1,5.00,0.64,No,23.00,Multi Listing Host
8.83766E+17,180017812,2018-03-22,,7,9,t,Arbutus Ridge,49.25,-123.16,Private room,2,,1,46.00,30,233,0,,,Missing,23.00,Multi Listing Host
14884981,32389320,2015-05-02,,1,2,t,Marpole,49.22,-123.13,Private room,1,,1,47.00,1,0,214,4.87,2.6,Missing,47.00,Multi Listing Host
18733868,126456251,2017-04-18,,5,8,t,Riley Park,49.24,-123.10,Private room,1,,1,47.00,30,7,15,4.93,0.21,Missing,47.00,Multi Listing Host
38493255,73997411,2016-05-25,f,1,1,t,Downtown,49.27,-123.13,Entire home/apt,2,,,47.00,1,0,14,4.43,0.34,No,23.50,Single Listing Host
7.87498E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,47.00,30,354,0,,,Missing,23.50,Multi Listing Host
7.87513E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,47.00,30,359,0,,,Missing,23.50,Multi Listing Host
7.97834E+17,452919213,2022-04-05,,18,18,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,47.00,30,236,0,,,Missing,23.50,Multi Listing Host
377706,1898008,2012-03-10,,4,5,t,Grandview-Woodland,49.28,-123.07,Private room,1,,1,48.00,30,99,59,4.69,0.45,Missing,48.00,Multi Listing Host
11688698,60939105,2016-02-29,,4,6,t,Kensington-Cedar Cottage,49.25,-123.06,Private room,1,,1,48.00,30,172,7,4.71,0.08,Missing,48.00,Multi Listing Host
23481782,126456251,2017-04-18,,5,8,t,Riley Park,49.24,-123.10,Private room,1,,1,48.00,30,176,19,5.00,0.31,Missing,48.00,Multi Listing Host
36770291,117119918,2017-02-19,,5,7,t,Kensington-Cedar Cottage,49.24,-123.09,Private room,1,,1,48.00,30,78,7,4.86,0.16,Missing,48.00,Multi Listing Host
39487783,43310687,2015-09-03,f,1,3,f,Renfrew-Collingwood,49.23,-123.03,Entire home/apt,5,2,4,48.00,360,0,13,4.62,0.3,No,9.60,Multi Listing Host
39732733,305392048,2019-10-30,,1,2,f,Downtown,49.27,-123.12,Private room,1,,1,48.00,3,0,2,5.00,0.05,Missing,48.00,Multi Listing Host
51305254,174501856,2018-02-21,f,5,5,t,Mount Pleasant,49.26,-123.10,Private room,1,,1,48.00,90,60,3,5.00,0.22,No,48.00,Multi Listing Host
6.99615E+17,83649788,2016-07-14,f,8,19,t,Marpole,49.21,-123.14,Private room,2,,1,48.00,30,72,2,5.00,0.24,No,24.00,Multi Listing Host
7.50441E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,48.00,30,355,0,,,Missing,24.00,Multi Listing Host
7.5119E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,48.00,30,355,0,,,Missing,24.00,Multi Listing Host
7.89147E+17,452919213,2022-04-05,,18,18,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,48.00,30,236,2,3.00,0.6,Missing,24.00,Multi Listing Host
7.93065E+17,452919213,2022-04-05,,18,18,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,48.00,30,236,2,3.50,0.57,Missing,24.00,Multi Listing Host
8.00247E+17,495077476,2023-01-08,f,1,4,t,Oakridge,49.23,-123.11,Shared room,1,,1,48.00,30,299,0,,,No,48.00,Multi Listing Host
11242550,34594484,2015-05-30,,3,5,t,Renfrew-Collingwood,49.25,-123.03,Private room,1,,1,49.00,30,52,46,4.84,0.55,Missing,49.00,Multi Listing Host
14831774,92655648,2016-08-30,,3,5,t,Victoria-Fraserview,49.21,-123.06,Private room,1,,1,49.00,30,60,100,4.91,1.22,Missing,49.00,Multi Listing Host
34180296,258060783,2019-04-25,,1,1,t,West End,49.29,-123.13,Private room,2,,1,49.00,30,0,3,5.00,0.06,Missing,24.50,Single Listing Host
42538952,2277072,2012-05-02,t,3,14,t,Dunbar Southlands,49.24,-123.18,Entire home/apt,2,1,1,49.00,30,219,4,5.00,0.18,Yes,24.50,Multi Listing Host
7.97051E+17,207405048,2018-08-04,,5,5,t,Renfrew-Collingwood,49.24,-123.05,Private room,1,,1,49.00,1,9,3,5.00,0.68,Missing,49.00,Multi Listing Host
3138351,4261957,2012-11-27,,2,3,t,Renfrew-Collingwood,49.24,-123.04,Private room,2,,1,50.00,30,224,41,4.66,0.38,Missing,25.00,Multi Listing Host
3430102,1574553,2012-01-06,,2,2,t,Renfrew-Collingwood,49.23,-123.03,Private room,2,,1,50.00,4,0,4,5.00,0.04,Missing,25.00,Multi Listing Host
4492009,17708381,2014-07-06,,1,2,t,Fairview,49.27,-123.13,Private room,1,,1,50.00,30,33,31,4.70,0.31,Missing,50.00,Multi Listing Host
6226872,17386999,2014-06-29,f,1,1,t,Hastings-Sunrise,49.26,-123.04,Entire home/apt,2,1,1,50.00,3,39,67,4.73,0.68,No,25.00,Single Listing Host
9259030,9093699,2013-09-27,f,1,3,t,Hastings-Sunrise,49.29,-123.05,Entire home/apt,2,1,2,50.00,3,0,320,4.70,3.46,No,25.00,Multi Listing Host
24517031,3150401,2012-08-03,,3,3,t,Kensington-Cedar Cottage,49.26,-123.08,Private room,1,,1,50.00,1,0,2,5.00,0.03,Missing,50.00,Multi Listing Host
24718014,186837058,2018-04-28,,3,3,t,Arbutus Ridge,49.25,-123.17,Entire home/apt,1,,1,50.00,30,9,3,5.00,0.05,Missing,50.00,Multi Listing Host
29736759,11804133,2014-01-31,f,1,1,t,Downtown Eastside,49.28,-123.09,Entire home/apt,2,1,1,50.00,3,0,21,4.71,0.38,No,25.00,Single Listing Host
30213093,226923143,2018-11-21,,1,1,t,West End,49.29,-123.14,Private room,2,,1,50.00,1,0,27,4.89,0.49,Missing,25.00,Single Listing Host
32089495,321947,2010-12-18,,3,3,t,Grandview-Woodland,49.27,-123.06,Private room,1,,1,50.00,1,0,33,4.64,0.63,Missing,50.00,Multi Listing Host
32947268,247913829,2019-03-10,f,2,7,t,Marpole,49.21,-123.13,Private room,3,,2,50.00,4,0,25,4.42,0.49,No,16.67,Multi Listing Host
33551463,250216111,2019-03-21,,2,2,t,Sunset,49.23,-123.08,Private room,2,,1,50.00,2,37,67,4.82,1.34,Missing,25.00,Multi Listing Host
34314864,321947,2010-12-18,,3,3,t,Grandview-Woodland,49.27,-123.06,Private room,1,,1,50.00,1,0,16,4.63,0.32,Missing,50.00,Multi Listing Host
35194772,21857224,2014-09-28,f,1,1,t,West End,49.29,-123.13,Entire home/apt,2,,1,50.00,2,0,16,4.80,0.33,No,25.00,Single Listing Host
36112328,271096826,2019-06-24,,6,6,f,Killarney,49.21,-123.06,Private room,1,,1,50.00,1,0,0,,,Missing,50.00,Multi Listing Host
36575124,27623916,2015-02-12,,1,1,t,Downtown,49.28,-123.12,Private room,2,,1,50.00,31,44,2,4.50,0.08,Missing,25.00,Single Listing Host
37370692,12310952,2014-02-17,,7,11,t,Marpole,49.21,-123.11,Private room,2,,1,50.00,30,103,9,5.00,0.21,Missing,25.00,Multi Listing Host
37636926,284386573,2019-08-09,,1,1,f,West Point Grey,49.26,-123.21,Private room,2,,2,50.00,1,0,3,5.00,0.06,Missing,25.00,Single Listing Host
39205913,79396079,2016-06-23,f,1,1,t,Killarney,49.23,-123.04,Entire home/apt,2,,1,50.00,1,0,2,5.00,0.04,No,25.00,Single Listing Host
41220326,316020752,2019-12-10,f,2,2,t,Victoria-Fraserview,49.22,-123.05,Entire home/apt,4,2,2,50.00,1,0,6,5.00,0.15,No,12.50,Multi Listing Host
46879080,39998564,2015-07-30,,1,1,t,Downtown,49.28,-123.11,Private room,1,,1,50.00,60,0,0,,,Missing,50.00,Single Listing Host
50196325,65669411,2016-04-03,f,1,2,t,Mount Pleasant,49.26,-123.10,Entire home/apt,2,1,1,50.00,60,0,0,,,No,25.00,Multi Listing Host
52421120,367572217,2020-09-14,t,2,2,t,Mount Pleasant,49.26,-123.11,Entire home/apt,2,1,1,50.00,30,0,1,5.00,0.05,Yes,25.00,Multi Listing Host
6.49919E+17,464411593,2022-06-15,t,1,1,t,Killarney,49.21,-123.04,Entire home/apt,2,1,1,50.00,30,198,4,5.00,0.42,Yes,25.00,Single Listing Host
6.89989E+17,244855688,2019-02-23,,11,11,t,Kensington-Cedar Cottage,49.23,-123.06,Private room,2,,1,50.00,30,303,4,5.00,0.44,Missing,25.00,Multi Listing Host
6.9017E+17,244855688,2019-02-23,,11,11,t,Kensington-Cedar Cottage,49.23,-123.06,Private room,2,,1,50.00,30,344,1,5.00,0.6,Missing,25.00,Multi Listing Host
6.91612E+17,244855688,2019-02-23,,11,11,t,Kensington-Cedar Cottage,49.23,-123.06,Private room,1,,1,50.00,30,344,1,5.00,0.14,Missing,50.00,Multi Listing Host
7.45194E+17,301114186,2019-10-08,f,1,4,t,West Point Grey,49.26,-123.20,Shared room,3,,3,50.00,31,302,0,,,No,16.67,Multi Listing Host
7.97838E+17,452919213,2022-04-05,,18,18,t,Mount Pleasant,49.26,-123.11,Private room,2,,1,50.00,30,236,2,3.00,0.48,Missing,25.00,Multi Listing Host
18270,70437,2010-01-14,,1,4,t,Mount Pleasant,49.27,-123.10,Private room,2,,1,51.00,30,231,118,4.54,0.79,Missing,25.50,Multi Listing Host
17340660,117119918,2017-02-19,,5,7,t,Kensington-Cedar Cottage,49.24,-123.09,Private room,1,,1,51.00,30,221,6,4.80,0.1,Missing,51.00,Multi Listing Host
19138815,133781038,2017-06-06,,1,1,t,Kitsilano,49.27,-123.18,Private room,1,,1,51.00,28,55,57,4.89,0.78,Missing,51.00,Single Listing Host
19230547,117119918,2017-02-19,,5,7,t,Kensington-Cedar Cottage,49.24,-123.09,Private room,1,,1,51.00,30,279,8,3.88,0.12,Missing,51.00,Multi Listing Host
34109372,117119918,2017-02-19,,5,7,t,Kensington-Cedar Cottage,49.24,-123.09,Private room,1,,1,51.00,30,242,8,3.88,0.17,Missing,51.00,Multi Listing Host
35169166,15232103,2014-05-07,,2,2,t,Downtown,49.28,-123.12,Private room,1,,1,51.00,30,0,1,5.00,0.02,Missing,51.00,Multi Listing Host
45532538,181157295,2018-03-28,t,1,1,t,Sunset,49.23,-123.09,Entire home/apt,2,1,1,51.00,4,0,97,4.92,3.09,Yes,25.50,Single Listing Host
6.29691E+17,414175819,2021-07-20,f,7,11,t,Victoria-Fraserview,49.22,-123.07,Private room,1,1,1,51.00,1,64,34,4.44,2.87,No,51.00,Multi Listing Host
7.51173E+17,484051894,2022-10-17,,13,13,t,Mount Pleasant,49.26,-123.11,Private room,1,,1,51.00,30,354,0,,,Missing,51.00,Multi Listing Host
